
#id=1
#text=Det har jeg læst... troede bare der var en ny grund til det måske...
1-1	Det	
1-2	har	
1-3	jeg	
1-4	læst	
1-5	.	
1-6	.	
1-7	.	
1-8	troede	
1-9	bare	
1-10	der	
1-11	var	
1-12	en	
1-13	ny	
1-14	grund	
1-15	til	
1-16	det	
1-17	måske	
1-18	.	
1-19	.	
1-20	.	

#id=2
#text=VIhar hørt selvsamme rygte, men intet er bekræftet, så slå koldt vand i blodet!
2-1	VI	
2-2	har	
2-3	hørt	
2-4	selvsamme	
2-5	rygte	
2-6	,	
2-7	men	
2-8	intet	
2-9	er	
2-10	bekræftet	
2-11	,	
2-12	så	
2-13	slå	
2-14	koldt	
2-15	vand	
2-16	i	
2-17	blodet	
2-18	!	

#id=3
#text=Hehe...Good One
3-1	Hehe	
3-2	.	
3-3	.	
3-4	.	
3-5	Good	
3-6	One	

#id=4
#text=:D:D YAAAAH!!! :D :D Juleaften!!
4-1	:	
4-2	D	
4-3	:	
4-4	D	
4-5	YAAAAH	
4-6	!	
4-7	!	
4-8	!	
4-9	:	
4-10	D	
4-11	:	
4-12	D	
4-13	Juleaften	
4-14	!	
4-15	!	

#id=5
#text=Kunne godt tænke mig at de speedede udgivelsensdatoen lidt  op.
5-1	Kunne	
5-2	godt	
5-3	tænke	
5-4	mig	
5-5	at	
5-6	de	
5-7	speedede	
5-8	udgivelsensdatoen	
5-9	lidt	
5-10	op	
5-11	.	

#id=6
#text=Hikaru no go-YUYU Hakusho-Gundam Wing-Slayers-Hellsing-Trigun-Hack!
6-1	Hikaru	
6-2	no	
6-3	go	
6-4	-	
6-5	YUYU	
6-6	Hakusho	
6-7	-	
6-8	Gundam	
6-9	Wing	
6-10	-	
6-11	Slayers	
6-12	-	
6-13	Hellsing	
6-14	-	
6-15	Trigun	
6-16	-	
6-17	Hack	
6-18	!	

#id=7
#text=Såh.... :P (Jeg holdt øje med de nuværende regler da jeg lavede decket, så med mindre de har lavet store ændringer inden for den sidste uge, som for eksempel at gøre mine shining abyss restricted, er mit deck lovligt.)
7-1	Såh	
7-2	.	
7-3	.	
7-4	.	
7-5	.	
7-6	:	
7-7	P	
7-8	(	
7-9	Jeg	
7-10	holdt	
7-11	øje	
7-12	med	
7-13	de	
7-14	nuværende	
7-15	regler	
7-16	da	
7-17	jeg	
7-18	lavede	
7-19	decket	
7-20	,	
7-21	så	
7-22	med	
7-23	mindre	
7-24	de	
7-25	har	
7-26	lavet	
7-27	store	
7-28	ændringer	
7-29	inden	
7-30	for	
7-31	den	
7-32	sidste	
7-33	uge	
7-34	,	
7-35	som	
7-36	for	
7-37	eksempel	
7-38	at	
7-39	gøre	
7-40	mine	
7-41	shining	
7-42	abyss	
7-43	restricted	
7-44	,	
7-45	er	
7-46	mit	
7-47	deck	
7-48	lovligt	
7-49	.	
7-50	)	

#id=8
#text=EDIT:
8-1	EDIT	
8-2	:	

#id=9
#text=Natalie Imbruglia har også lavet et nummer til serien, men det har højst sansynligt været i sammenhæng med dubbigen af den amerikanske version.
9-1	Natalie	
9-2	Imbruglia	
9-3	har	
9-4	også	
9-5	lavet	
9-6	et	
9-7	nummer	
9-8	til	
9-9	serien	
9-10	,	
9-11	men	
9-12	det	
9-13	har	
9-14	højst	
9-15	sansynligt	
9-16	været	
9-17	i	
9-18	sammenhæng	
9-19	med	
9-20	dubbigen	
9-21	af	
9-22	den	
9-23	amerikanske	
9-24	version	
9-25	.	

#id=10
#text=Hvor Pokemon med sin ensformighed nok henvender sig mest til de 6-10 årige, henvender Digimon sig lidt mere til større børn, 10-13.
10-1	Hvor	
10-2	Pokemon	
10-3	med	
10-4	sin	
10-5	ensformighed	
10-6	nok	
10-7	henvender	
10-8	sig	
10-9	mest	
10-10	til	
10-11	de	
10-12	6	
10-13	-	
10-14	10	
10-15	årige	
10-16	,	
10-17	henvender	
10-18	Digimon	
10-19	sig	
10-20	lidt	
10-21	mere	
10-22	til	
10-23	større	
10-24	børn	
10-25	,	
10-26	10	
10-27	-	
10-28	13	
10-29	.	

#id=11
#text=Her bor dæmoner mv.), Reikai (Åndernes verden. de sørger også for at holde orden verdnerne imellem) og Nignenkai (menneskenes verden.) og det bliver Yusukes nye opgave består i at holde orden i dem for de højere magter i Reikai, Kong Enma og hans søn, Koenma.
11-1	Her	
11-2	bor	
11-3	dæmoner	
11-4	mv	
11-5	.	
11-6	)	
11-7	,	
11-8	Reikai	
11-9	(	
11-10	Åndernes	
11-11	verden	
11-12	.	
11-13	de	
11-14	sørger	
11-15	også	
11-16	for	
11-17	at	
11-18	holde	
11-19	orden	
11-20	verdnerne	
11-21	imellem	
11-22	)	
11-23	og	
11-24	Nignenkai	
11-25	(	
11-26	menneskenes	
11-27	verden	
11-28	.	
11-29	)	
11-30	og	
11-31	det	
11-32	bliver	
11-33	Yusukes	
11-34	nye	
11-35	opgave	
11-36	består	
11-37	i	
11-38	at	
11-39	holde	
11-40	orden	
11-41	i	
11-42	dem	
11-43	for	
11-44	de	
11-45	højere	
11-46	magter	
11-47	i	
11-48	Reikai	
11-49	,	
11-50	Kong	
11-51	Enma	
11-52	og	
11-53	hans	
11-54	søn	
11-55	,	
11-56	Koenma	
11-57	.	

#id=12
#text=Jeg elsker bare Bleach!!
12-1	Jeg	
12-2	elsker	
12-3	bare	
12-4	Bleach	
12-5	!	
12-6	!	

#id=13
#text=F.eks. at man ikke måtte have Monster Reborn og Dark Hole i sit Deck.
13-1	F	
13-2	.	
13-3	eks	
13-4	.	
13-5	at	
13-6	man	
13-7	ikke	
13-8	måtte	
13-9	have	
13-10	Monster	
13-11	Reborn	
13-12	og	
13-13	Dark	
13-14	Hole	
13-15	i	
13-16	sit	
13-17	Deck	
13-18	.	

#id=14
#text=Hunter X Hunter Men det behøver du vel næppe at vide, da de for det meste  er ret åbenlyse :P
14-1	Hunter	
14-2	X	
14-3	Hunter	
14-4	Men	
14-5	det	
14-6	behøver	
14-7	du	
14-8	vel	
14-9	næppe	
14-10	at	
14-11	vide	
14-12	,	
14-13	da	
14-14	de	
14-15	for	
14-16	det	
14-17	meste	
14-18	er	
14-19	ret	
14-20	åbenlyse	
14-21	:	
14-22	P	

#id=15
#text=/meelsker Neon Genesis Evangelion over alt!
15-1	/	
15-2	me	
15-3	elsker	
15-4	Neon	
15-5	Genesis	
15-6	Evangelion	
15-7	over	
15-8	alt	
15-9	!	

#id=16
#text=....Kanjeg spørge, hvor I får alle de blade fra?
16-1	.	
16-2	.	
16-3	.	
16-4	.	
16-5	Kan	
16-6	jeg	
16-7	spørge	
16-8	,	
16-9	hvor	
16-10	I	
16-11	får	
16-12	alle	
16-13	de	
16-14	blade	
16-15	fra	
16-16	?	

#id=17
#text=Men for kort i forhold til at den er dyrere.
17-1	Men	
17-2	for	
17-3	kort	
17-4	i	
17-5	forhold	
17-6	til	
17-7	at	
17-8	den	
17-9	er	
17-10	dyrere	
17-11	.	

#id=18
#text=Jeg ville helt vildt gerne lære at tale japansk, men da jeg er hørehæmmet og har svært ved engelsk og tysk som man har i folkeskolen, bør jeg nok ikke studere japansk.
18-1	Jeg	
18-2	ville	
18-3	helt	
18-4	vildt	
18-5	gerne	
18-6	lære	
18-7	at	
18-8	tale	
18-9	japansk	
18-10	,	
18-11	men	
18-12	da	
18-13	jeg	
18-14	er	
18-15	hørehæmmet	
18-16	og	
18-17	har	
18-18	svært	
18-19	ved	
18-20	engelsk	
18-21	og	
18-22	tysk	
18-23	som	
18-24	man	
18-25	har	
18-26	i	
18-27	folkeskolen	
18-28	,	
18-29	bør	
18-30	jeg	
18-31	nok	
18-32	ikke	
18-33	studere	
18-34	japansk	
18-35	.	

#id=19
#text=Jegmå sige jeg har størst forventninger til Playstation 3 og Xbox 2, de andre har jeg ikke engang hørt om... men Nintendo har aldrig sagt mig noget, så det må blive Playstation 3 jeg stemmer på :)
19-1	Jeg	
19-2	må	
19-3	sige	
19-4	jeg	
19-5	har	
19-6	størst	
19-7	forventninger	
19-8	til	
19-9	Playstation	
19-10	3	
19-11	og	
19-12	Xbox	
19-13	2	
19-14	,	
19-15	de	
19-16	andre	
19-17	har	
19-18	jeg	
19-19	ikke	
19-20	engang	
19-21	hørt	
19-22	om	
19-23	.	
19-24	.	
19-25	.	
19-26	men	
19-27	Nintendo	
19-28	har	
19-29	aldrig	
19-30	sagt	
19-31	mig	
19-32	noget	
19-33	,	
19-34	så	
19-35	det	
19-36	må	
19-37	blive	
19-38	Playstation	
19-39	3	
19-40	jeg	
19-41	stemmer	
19-42	på	
19-43	:	
19-44	)	

#id=20
