 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Forlag:
1-1	Forlag	B-noun.institution	
1-2	:	O	

#id=2
#text=Ah, ok...
2-1	Ah	O	
2-2	,	O	
2-3	ok	O	
2-4	.	O	
2-5	.	O	
2-6	.	O	

#id=3
#text=Jeg synes egentlig ikke der er noget galt med det. på en website stod der : ...Digimon was created way before Pokemon, and people thought that it was copying Pokemon only because that came out in America before Digimon... men om det er sandt aner jeg ikke
3-1	Jeg	O	
3-2	synes	B-verb.cognition	
3-3	egentlig	O	
3-4	ikke	O	
3-5	der	O	
3-6	er	B-verb.stative	
3-7	noget	O	
3-8	galt	B-adj.all	
3-9	med	O	
3-10	det	O	
3-11	.	O	
3-12	på	O	
3-13	en	O	
3-14	website	B-noun.communication	
3-15	stod	B-noun.communication	
3-16	der	O	
3-17	:	O	
3-18	.	O	
3-19	.	O	
3-20	.	O	
3-21	Digimon	B-noun.person	
3-22	was	O	
3-23	created	B-verb.creation	
3-24	way	O	
3-25	before	O	
3-26	Pokemon	B-noun.person	
3-27	,	O	
3-28	and	O	
3-29	people	B-noun.person	
3-30	thought	B-verb.cognition	
3-31	that	O	
3-32	it	O	
3-33	was	B-verb.stative	
3-34	copying	B-verb.social	
3-35	Pokemon	B-noun.person	
3-36	only	O	
3-37	because	O	
3-38	that	O	
3-39	came	B-verb.creation	
3-40	out	B-verb.PARTICLE	
3-41	in	O	
3-42	America	B-noun.location	
3-43	before	O	
3-44	Digimon	B-noun.person	
3-45	.	O	
3-46	.	O	
3-47	.	O	
3-48	men	O	
3-49	om	O	
3-50	det	O	
3-51	er	B-verb.stative	
3-52	sandt	B-adj.social	
3-53	aner	B-verb.cognition	
3-54	jeg	O	
3-55	ikke	O	

#id=4
#text=Sorryfucker lidt...i må godt slette den ene af dem jeg har lavet kan man gøre det selv?
4-1	Sorry	O	
4-2	fucker	B-verb.act	
4-3	lidt	O	
4-4	.	O	
4-5	.	O	
4-6	.	O	
4-7	i	O	
4-8	må	B-verb.emotion	
4-9	godt	O	
4-10	slette	B-verb.change	
4-11	den	O	
4-12	ene	O	
4-13	af	O	
4-14	dem	O	
4-15	jeg	O	
4-16	har	O	
4-17	lavet	B-verb.creation	
4-18	kan	B-verb.emotion	
4-19	man	O	
4-20	gøre	B-verb.act	
