# newdoc id = se_og_hoer-5.tsv
# sent_id = 1
# text =  Ellers respekterer vi hinandens privatliv- vi banker også på, når vi besøger hinanden, siger Bodil.
1	Ellers	ellers	ADV		
2	respekterer	respektere	VERB		verb.emotion
3	vi	vi	PRON		
4	hinandens	hinanden	ADJ		
5	privatliv	privatliv	NOUN		noun.time
6	-	-	PUNCT		
7	vi	vi	PRON		
8	banker	banke	VERB		verb.contact
9	også	også	ADV		
10	på	på	ADP		verb.COLL
11	,	,	PUNCT		
12	når	når	SCONJ		
13	vi	vi	PRON		
14	besøger	besøge	VERB		verb.act
15	hinanden	hinanden	PRON		
16	,	,	PUNCT		
17	siger	sige	VERB		verb.communication
18	Bodil	bodil	PROPN		noun.person
19	.	.	PUNCT		

# newdoc id = se_og_hoer-5.tsv
# sent_id = 2
# text = - Det var spændende at læse nyt hjemmefra.
1	-	-	PUNCT		
2	Det	det	PRON		
3	var	være	AUX		verb.stative
4	spændende	spændende	ADJ		adj.mental
5	at	at	PART		
6	læse	læse	VERB		verb.cognition
7	nyt	ny	ADJ		adj.time
8	hjemmefra	hjemmefra	NOUN		
9	.	.	PUNCT		

# newdoc id = se_og_hoer-5.tsv
# sent_id = 3
# text =  Selv om Anja Andersen snart er fortid i FCK Håndbold, ville hun ikke gå glip af chancen for at sige farvel til sin gode ven Don Ø
1	Selv	selv	ADV		
2	om	om	ADP		
3	Anja	anja	PROPN		noun.person
4	Andersen	andersen	PROPN		noun.person
5	snart	snart	ADV		
6	er	være	AUX		verb.stative
7	fortid	fortid	NOUN		noun.time
8	i	i	ADP		
9	FCK	fck	PROPN		noun.domain
10	Håndbold	håndbold	NOUN		noun.domain
11	,	,	PUNCT		
12	ville	ville	AUX		
13	hun	hun	PRON		
14	ikke	ikke	ADV		
15	gå	gå	VERB		verb.phenomenon
16	glip	glip	NOUN		verb.PARTICLE
17	af	af	ADP		
18	chancen	chance	NOUN		noun.event
19	for	for	ADP		
20	at	at	PART		
21	sige	sige	VERB		verb.communication
22	farvel	farvel	NOUN		noun.communication
23	til	til	ADP		
24	sin	sin	DET		
25	gode	god	ADJ		adj.all
26	ven	ven	NOUN		noun.person
27	Don	don	PROPN		noun.person
28	Ø	ø	NOUN		noun.person

# newdoc id = se_og_hoer-5.tsv
# sent_id = 4
# text =  Måtte i stedet blive hjemme i København, da alle fly blev aflyst pga. askeskyen.
1	Måtte	måtte	VERB		
2	i	i	ADP		
3	stedet	sted	NOUN		
4	blive	blive	AUX		verb.stative
5	hjemme	hjemme	ADV		verb.COLL
6	i	i	ADP		
7	København	københavn	PROPN		noun.location
8	,	,	PUNCT		
9	da	da	SCONJ		
10	alle	al	ADJ		
11	fly	fly	NOUN		noun.vehicle
12	blev	blive	AUX		
13	aflyst	aflyse	VERB		verb.act
14	pga	pga	ADV		
15	.	.	PUNCT		
16	askeskyen	askesky	NOUN		noun.phenomenon
17	.	.	PUNCT		

# newdoc id = se_og_hoer-5.tsv
# sent_id = 5
# text =  Casper Christensen blev til gengæld mødt af en ivrig Remee, der tog sit værtskab meget seriøst og straks fik spærret et område af til stjernerne.
1	Casper	casper	PROPN		noun.person
2	Christensen	christensen	PROPN		noun.person
3	blev	blive	VERB		
4	til	til	ADP		
5	gengæld	gengæld	NOUN		
6	mødt	møde	VERB		verb.motion
7	af	af	ADP		
8	en	en	DET		
9	ivrig	ivrig	ADJ		adj.mental
10	Remee	reme	NOUN		noun.person
11	,	,	PUNCT		
12	der	der	PRON		
13	tog	toge	VERB		verb.cognition
14	sit	sin	DET		
15	værtskab	værtskab	NOUN		noun.attribute
16	meget	megen	ADV		
17	seriøst	seriøs	ADJ		verb.COLL
18	og	og	CCONJ		
19	straks	straks	ADV		
20	fik	få	VERB		
21	spærret	spærre	VERB		verb.act
22	et	en	DET		
23	område	område	NOUN		noun.location
24	af	af	ADV		
25	til	til	ADP		
26	stjernerne	stjerne	NOUN		noun.person
27	.	.	PUNCT		

# newdoc id = se_og_hoer-5.tsv
# sent_id = 6
# text =  Om det hjælper, ved jeg ikke, men det har da hjulpet andre, siger Maria Bjørnson og understreger, at der ikke bliver tale om parterapi.- Jeg skal ikke ind og analysere mig selv, og jeg mener, Michael og jeg har et godt og velfungerende sexliv.
1	Om	om	ADP		
2	det	det	PRON		
3	hjælper	hjælpe	VERB		verb.change
4	,	,	PUNCT		
5	ved	vide	VERB		verb.cognition
6	jeg	jeg	PRON		
7	ikke	ikke	ADV		
8	,	,	PUNCT		
9	men	men	CCONJ		
10	det	det	PRON		
11	har	have	AUX		
12	da	da	ADV		
13	hjulpet	hjælpe	VERB		verb.act
14	andre	anden	PRON		
15	,	,	PUNCT		
16	siger	sige	VERB		verb.communication
17	Maria	maria	PROPN		noun.person
18	Bjørnson	bjørnson	PROPN		noun.person
19	og	og	CCONJ		
20	understreger	understrege	VERB		verb.communication
21	,	,	PUNCT		
22	at	at	SCONJ		
23	der	der	ADV		
24	ikke	ikke	ADV		
25	bliver	blive	VERB		
26	tale	tale	NOUN		verb.communication
27	om	om	ADP		
28	parterapi	parterapi	NOUN		noun.act
29	.	.	PUNCT		
30	-	-	PUNCT		
31	Jeg	jeg	PRON		
32	skal	skulle	AUX		
33	ikke	ikke	ADV		
34	ind	ind	ADV		
35	og	og	CCONJ		
36	analysere	analysere	VERB		verb.cognition
37	mig	jeg	PRON		
38	selv	selv	PRON		
39	,	,	PUNCT		
40	og	og	CCONJ		
41	jeg	jeg	PRON		
42	mener	mene	VERB		verb.cognition
43	,	,	PUNCT		
44	Michael	michael	PROPN		noun.person
45	og	og	CCONJ		
46	jeg	jeg	PRON		
47	har	have	AUX		verb.possession
48	et	en	DET		
49	godt	god	ADJ		adj.all
50	og	og	CCONJ		
51	velfungerende	velfungerende	ADJ		adj.all
52	sexliv	sexliv	NOUN		noun.time
53	.	.	PUNCT		

# newdoc id = se_og_hoer-5.tsv
# sent_id = 7
# text =  Alle koncerter blev aflyst, og sangerinden kæmpede længe hårdt både for livet og for at vende tilbage til sit gamle jeg.
1	Alle	al	ADJ		
2	koncerter	koncert	NOUN		noun.event
3	blev	blive	AUX		
4	aflyst	aflyse	VERB		verb.communication
5	,	,	PUNCT		
6	og	og	CCONJ		
7	sangerinden	sangerinde	NOUN		noun.person
8	kæmpede	kæmpe	VERB		verb.act
9	længe	længe	ADV		
10	hårdt	hård	ADV		
11	både	både	ADV		
12	for	for	ADP		
13	livet	liv	NOUN		noun.time
14	og	og	CCONJ		
15	for	for	ADP		
16	at	at	PART		
17	vende	vende	VERB		verb.motion
18	tilbage	tilbage	ADV		verb.PARTICLE
19	til	til	ADP		
20	sit	sin	DET		
21	gamle	gammel	ADJ		adj.time
22	jeg	jeg	PRON		
23	.	.	PUNCT		

# newdoc id = se_og_hoer-5.tsv
# sent_id = 8
# text =  Den ene er allerede optaget i et bureau som fotomodel, og i sidste uge skulle den ældste også til optagelsesprøve.
1	Den	den	DET		
2	ene	ene	ADJ		
3	er	være	AUX		
4	allerede	allerede	ADV		
5	optaget	optage	VERB		verb.possession
6	i	i	ADP		
7	et	en	DET		
8	bureau	bureau	NOUN		noun.institution
9	som	som	ADP		
10	fotomodel	fotomodel	NOUN		noun.person
11	,	,	PUNCT		
12	og	og	CCONJ		
13	i	i	ADP		
14	sidste	sidste	ADJ		adj.time
15	uge	uge	NOUN		noun.time
16	skulle	skulle	AUX		verb.phenomenon
17	den	den	DET		
18	ældste	gammel	ADJ		noun.person
19	også	også	ADV		
20	til	til	ADP		
21	optagelsesprøve	optagelsesprøve	NOUN		noun.event
22	.	.	PUNCT		

# newdoc id = se_og_hoer-5.tsv
# sent_id = 9
# text =  I starten ville de i DR gerne klippe mig, men nu får jeg bare lov til at gå i studiet, som jeg gik hjemmefra.
1	I	i	ADP		
2	starten	start	NOUN		noun.time
3	ville	ville	AUX		
4	de	den	PRON		
5	i	i	ADP		
6	DR	dr	PROPN		noun.institution
7	gerne	gerne	ADV		
8	klippe	klippe	VERB		verb.act
9	mig	jeg	PRON		
10	,	,	PUNCT		
11	men	men	CCONJ		
12	nu	nu	ADV		
13	får	få	VERB		verb.phenomenon
14	jeg	jeg	PRON		
15	bare	bare	ADV		
16	lov	lov	NOUN		verb.COLL
17	til	til	ADP		
18	at	at	PART		
19	gå	gå	VERB		verb.motion
20	i	i	ADP		
21	studiet	studium	NOUN		noun.building
22	,	,	PUNCT		
23	som	som	PRON		
24	jeg	jeg	PRON		
25	gik	gå	VERB		verb.motion
