# newdoc id = DDT-1237.tsv
# sent_id = 1
# text =  Man indkvarteres i hytter med fire ferieboligeri hver og maksimalt seks personer i hver bolig.
1	Man	man	PRON		
2	indkvarteres	indkvartere	VERB		verb.act
3	i	i	ADP		
4	hytter	hytte	NOUN		noun.building
5	med	med	ADP		
6	fire	fire	NUM		
7	ferieboligeri	ferieboligeri	NOUN		noun.building
8	hver	hver	PRON		
9	og	og	CCONJ		
10	maksimalt	maksimal	ADV		adj.all
11	seks	seks	ADJ		
12	personer	person	NOUN		noun.person
13	i	i	ADP		
14	hver	hver	PRON		
15	bolig	bolig	NOUN		noun.building
16	.	.	PUNCT		

# newdoc id = DDT-1237.tsv
# sent_id = 2
# text =  Priser fra 1.095 kr. og med i prisen er bus fra Fyn og Jylland, overfart Frederikshavn-Göteborg, bus til Branäs og dansk skiguide.
1	Priser	prise	NOUN		noun.quantity
2	fra	fra	ADP		
3	1.095	1.095	NUM		
4	kr.	kr.	NOUN		noun.artifact
5	og	og	CCONJ		
6	med	med	ADV		
7	i	i	ADP		
8	prisen	prise	NOUN		noun.quantity
9	er	være	AUX		verb.stative
10	bus	bus	NOUN		noun.vehicle
11	fra	fra	ADP		
12	Fyn	fyn	PROPN		noun.location
13	og	og	CCONJ		
14	Jylland	jylland	PROPN		noun.location
15	,	,	PUNCT		
16	overfart	overfart	NOUN		noun.act
17	Frederikshavn-Göteborg	frederikshavn-göteborg	X		noun.location
18	,	,	PUNCT		
19	bus	bus	NOUN		noun.vehicle
20	til	til	ADP		
21	Branäs	branäs	PROPN		noun.location
22	og	og	CCONJ		
23	dansk	dansk	ADJ		adj.social
24	skiguide	skiguid	NOUN		noun.person
25	.	.	PUNCT		

# newdoc id = DDT-1237.tsv
# sent_id = 3
# text =  Jul i Norge
1	Jul	jul	NOUN		noun.time
2	i	i	ADP		
3	Norge	norge	PROPN		noun.location

# newdoc id = DDT-1237.tsv
# sent_id = 4
# text =  Traditionen tro har Norsk Rejsebureau jule- og nytårsrejser til Norge.
1	Traditionen	tradition	NOUN		noun.abstract
2	tro	tro	VERB		adj.mental
3	har	have	VERB		verb.stative
4	Norsk	norsk	ADJ		noun.institution
5	Rejsebureau	rejsebureau	NOUN		noun.institution
6	jule-	jule-	X		noun.act
7	og	og	CCONJ		
8	nytårsrejser	nytårsrejs	NOUN		noun.act
9	til	til	ADP		
10	Norge	norge	PROPN		noun.location
11	.	.	PUNCT		

# newdoc id = DDT-1237.tsv
# sent_id = 5
# text =  Til Gausdal Høifjellshotell og til Kampsæter og Ruten Fjellstue.
1	Til	til	ADP		
2	Gausdal	gausdal	PROPN		noun.building
3	Høifjellshotell	høifjellshotell	PROPN		noun.building
4	og	og	CCONJ		
5	til	til	ADP		
6	Kampsæter	kampsæter	PROPN		noun.location
7	og	og	CCONJ		
8	Ruten	ruten	PROPN		noun.building
9	Fjellstue	fjellstue	PROPN		noun.building
10	.	.	PUNCT		

# newdoc id = DDT-1237.tsv
# sent_id = 6
# text =  Rejserne er med DFDS til Oslo og med bus derfra til Guldbrandsdalen.
1	Rejserne	rejse	NOUN		noun.act
2	er	være	AUX		verb.stative
3	med	med	ADP		
4	DFDS	dfds	PROPN		noun.institution
5	til	til	ADP		
6	Oslo	oslo	PROPN		noun.location
7	og	og	CCONJ		
8	med	med	ADP		
9	bus	bus	NOUN		noun.vehicle
