# newdoc id = se_og_hoer-3.tsv
# sent_id = 1
# text =  Danmarks hotteste par nød foråret og hinanden- og fik besøg af hans forældre
1	Danmarks	danmark	ADV		noun.institution
2	hotteste	hot	ADJ		adj.all
3	par	par	NOUN		noun.person
4	nød	nøde	VERB		verb.emotion
5	foråret	forår	NOUN		noun.time
6	og	og	CCONJ		
7	hinanden	hinanden	PRON		noun.person
8	-	-	PUNCT		
9	og	og	CCONJ		
10	fik	få	VERB		verb.phenomenon
11	besøg	besøg	NOUN		noun.act
12	af	af	ADP		
13	hans	hans	DET		
14	forældre	forældre	NOUN		noun.person

# newdoc id = se_og_hoer-3.tsv
# sent_id = 2
# text =  Juleaften tilbragte Charlotte Dyremose, hendes mand Jacob Bræstrup og Christian hos de nybagte morforældre, Elly Dyremose og tidl. minister og tidl. direktør i TDC Henning Dyremose.
1	Juleaften	juleaften	ADV		noun.time
2	tilbragte	tilbringe	VERB		verb.stative
3	Charlotte	charlotte	PROPN		noun.person
4	Dyremose	dyremose	PROPN		noun.person
5	,	,	PUNCT		
6	hendes	hendes	DET		
7	mand	mand	NOUN		noun.person
8	Jacob	jacob	PROPN		noun.person
9	Bræstrup	bræstrup	PROPN		noun.person
10	og	og	CCONJ		
11	Christian	christian	PROPN		noun.person
12	hos	hos	ADP		
13	de	den	DET		
14	nybagte	nybagt	ADJ		adj.all
15	morforældre	morforældre	NOUN		noun.person
16	,	,	PUNCT		
17	Elly	elly	PROPN		noun.person
18	Dyremose	dyremose	PROPN		noun.person
19	og	og	CCONJ		
20	tidl	tidl	NOUN		adj.time
21	.	.	PUNCT		
22	minister	minister	NOUN		noun.person
23	og	og	CCONJ		
24	tidl	tidl	NOUN		adj.time
25	.	.	PUNCT		
26	direktør	direktør	NOUN		noun.person
27	i	i	ADP		
28	TDC	tdc	PROPN		noun.institution
29	Henning	henning	PROPN		noun.person
30	Dyremose	dyremose	PROPN		noun.person
31	.	.	PUNCT		

# newdoc id = se_og_hoer-3.tsv
# sent_id = 3
# text =  Ja Stilling:
1	Ja	ja	ADJ		
2	Stilling	stilling	NOUN		noun.state
3	:	:	PUNCT		

# newdoc id = se_og_hoer-3.tsv
# sent_id = 4
# text =  For tiden er de to superstjerner på turné rundt i Europa, hvor de promoverer deres nye fælles film" The Bounty Hunter", og da de besøgte Paris, var der en opmærksom fotograf, som tog nogle billeder af de to" venner", uden at de bemærkede det.
1	For	for	ADP		
2	tiden	tid	NOUN		noun.time
3	er	være	AUX		verb.stative
4	de	den	DET		
