 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Lovforslaget består helt konkret af syv forskellige redskaber, der tilsammen skal sikre en forebyggende hjælp til de udsætningstruede lejere, og som kan hjælpe lejerne med at få deres økonomi på ret kurs igen.
1-1	Lovforslaget	lovforslag	NC:sdun:--:----	
1-2	består	bestå	VF:----:sa:----	
1-3	helt	hel	AD:----:--:p---	
1-4	konkret	konkret	AD:----:--:p---	
1-5	af	af	T-:----:--:----	
1-6	syv	syv	LC:--u-:--:----	
1-7	forskellige	forskellig	AC:p#u#:--:p---	
1-8	redskaber	redskab	NC:piu#:--:----	
1-9	,	,	ZD	
1-10	der	der	US:----:--:----	
1-11	tilsammen	tilsammen	D-:----:--:u---	
1-12	skal	skulle	VF:----:sa:----	
1-13	sikre	sikre	VI:----:-a:----	
1-14	en	en	PI:s-uc:--:----	
1-15	forebyggende	forebygge	VP:##u#:s-:----	
1-16	hjælp	hjælp	NC:siuc:--:----	
1-17	til	til	T-:----:--:----	
1-18	de	den	PM:p-u#:--:----	
1-19	udsætningstruede	udsætningstrue	VP:p#u#:t-:----	
1-20	lejere	lejer	NC:piu#:--:----	
1-21	,	,	ZD	
1-22	og	og	CC:----:--:----	
1-23	som	som	US:----:--:----	
1-24	kan	kunne	VF:----:sa:----	
1-25	hjælpe	hjælpe	VI:----:-a:----	
1-26	lejerne	leje	NC:pdu#:--:----	
1-27	med	med	T-:----:--:----	
1-28	at	at	UI:----:--:----	
1-29	få	få	VI:----:-a:----	
1-30	deres	deres	PO:#--#:--:-3np	
1-31	økonomi	økonomi	NC:siuc:--:----	
1-32	på	på	T-:----:--:----	
1-33	ret	ret	NC:siuc:--:----	
1-34	kurs	kurs|kurs-2|kurs-F-ikke-i-kurs|kurs-F-sætte-kursen|kurs-F-ud/ude-af-kurs|kurs-F-i-høj-kurs|kurs-1|kurs-1a	NC:siuc:--:----	
1-35	igen	igen	D-:----:--:u---	
1-36	.	.	ZP	

