 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Det var helt inde ved livsnerven, da granaterne og skuddene ramte Serena Hotel i Afghanistans hovedstad Kabul i januar i år.
1-1	Det	det	PP:s-un:--:-3n-	
1-2	var	være	VF:----:ta:----	
1-3	helt	hel	AD:----:--:p---	
1-4	inde	inde	D-:----:--:u---	
1-5	ved	ved	T-:----:--:----	
1-6	livsnerven	livsnerve	NC:sduc:--:----	
1-7	,	,	ZD	
1-8	da	da	CS:----:--:----	
1-9	granaterne	granat	NC:pdu#:--:----	
1-10	og	og	CC:----:--:----	
1-11	skuddene	skud	NC:pdu#:--:----	
1-12	ramte	ramme	VF:----:ta:----	
1-13	Serena	Serena	NP:siu#:--:----	
1-14	Hotel	Hotel	NP:siu#:--:----	
1-15	i	i	T-:----:--:----	
1-16	Afghanistans	Afghanistan	NP:sig#:--:----	
1-17	hovedstad	hovedstad	NC:siuc:--:----	
1-18	Kabul	Kabul	NP:siu#:--:----	
1-19	i	i	T-:----:--:----	
1-20	januar	januar	NC:siuc:--:----	
1-21	i	i	T-:----:--:----	
1-22	år	år	NC:siun:--:----	
1-23	.	.	ZP	

#id=2
#text= Han stod over for mange skud fra os, men lod kun fire gå ind.
2-1	Han	han	PP:s-nc:--:-3n-	
2-2	stod	stå	VF:----:ta:----	
2-3	over	over	D-:----:--:u---	
2-4	for	for	T-:----:--:----	
2-5	mange	mangen	AC:p#u#:--:p---	
2-6	skud	skud	NC:piu#:--:----	
2-7	fra	fra	T-:----:--:----	
2-8	os	vi	PP:p-uc:--:-1#-	
2-9	,	,	ZD	
2-10	men	men	CC:----:--:----	
2-11	lod	lade	VF:----:ta:----	
2-12	kun	kun	-:u---	
2-13	fire	fire	LC:--u-:--:----	
2-14	gå	gå	VI:----:-a:----	
2-15	ind	ind	D-:----:--:u---	
2-16	.	.	ZP	

#id=3
#text=For politikerne i Århus kommune er tilsyneladende så glade for, at de kongelige indimellem tager ophold i deres by, at de har foræret det yngste skud på den royale stamme en noget utraditionel dåbsgave.
3-1	For	for	T-:----:--:----	
3-2	politikerne	politiker	NC:pdu#:--:----	
3-3	i	i	T-:----:--:----	
3-4	Århus	Århus	NP:sig#:--:----	
3-5	kommune	kommune	NC:siuc:--:----	
3-6	er	være	VF:----:sa:----	
3-7	tilsyneladende	tilsyneladende	AD:----:--:p---	
3-8	så	så	D-:----:--:u---	
3-9	glade	glad	AC:p#u#:--:p---	
3-10	for	for	T-:----:--:----	
3-11	,	,	ZD	
3-12	at	at	CS:----:--:----	
3-13	de	den	PM:p-u#:--:----	
3-14	kongelige	kongelig	AC:p#u#:--:p---	
3-15	indimellem	indimellem	D-:----:--:u---	
3-16	tager	tage	VF:----:sa:----	
3-17	ophold	ophold	NC:siun:--:----	
3-18	i	i	T-:----:--:----	
3-19	deres	deres	PO:#--#:--:-3np	
3-20	by	by	NC:siuc:--:----	
3-21	,	,	ZD	
3-22	at	at	CS:----:--:----	
3-23	de	de	PP:p-n#:--:-3n-	
3-24	har	have	VF:----:sa:----	
3-25	foræret	forære	VT:siu#:t-:----	
3-26	det	den	PM:s-un:--:----	
3-27	yngste	ung	AC:§du§:--:s---	
3-28	skud	skud	NC:siun:--:----	
3-29	på	på	T-:----:--:----	
3-30	den	den	PM:s-uc:--:----	
3-31	royale	royal	AC:sdu#:--:p---	
3-32	stamme	stamme	NC:siuc:--:----	
3-33	en	en	LC:--u-:--:----	
3-34	noget	nogen	PI:s-un:--:----	
3-35	utraditionel	utraditionel	AC:siuc:--:p---	
3-36	dåbsgave	dåbsgave	NC:siuc:--:----	
3-37	.	.	ZP	

#id=4
#text=2 Der lød et skud.
4-1	2	2	LC:--u-:--:----	
4-2	Der	der	US:----:--:----	
4-3	lød	lyde	VF:----:ta:----	
4-4	et	en	PI:s-un:--:----	
