 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=De samler soden op og blæser den ud senere, og så kan vi alle sammen få et ordentligt skud af det, når vi kører rundt inde i byen på vores cykler.
1-1	De	de	PP:p-n#:--:-3n-	_	
1-2	samler	samle	VF:----:sa:----	_	
1-3	soden	sod	NC:sduc:--:----	_	
1-4	op	op	D-:----:--:u---	_	
1-5	og	og	CC:----:--:----	_	
1-6	blæser	blæse	VF:----:sa:----	_	
1-7	den	den	PP:s-uc:--:-3n-	_	
1-8	ud	ud	D-:----:--:u---	_	
1-9	senere	sen	AD:----:--:c---	_	
1-10	,	,	ZD	_	
1-11	og	og	CC:----:--:----	_	
1-12	så	så	D-:----:--:u---	_	
1-13	kan	kunne	VF:----:sa:----	_	
1-14	vi	vi	PP:p-nc:--:-1n-	_	
1-15	alle	al	PI:p-u#:--:----	_	
1-16	sammen	sammen	D-:----:--:u---	_	
1-17	få	få	VI:----:-a:----	_	
1-18	et	en	PI:s-un:--:----	_	
1-19	ordentligt	ordentlig	AC:siun:--:p---	_	
1-20	skud	skud	NC:siun:--:----	skud_8	
1-21	af	af	T-:----:--:----	_	
1-22	det	det	PP:s-un:--:-3n-	_	
1-23	,	,	ZD	_	
1-24	når	når	CS:----:--:----	_	
1-25	vi	vi	PP:p-nc:--:-1n-	_	
1-26	kører	køre	VF:----:sa:----	_	
1-27	rundt	rundt	D-:----:--:u---	_	
1-28	inde	inde	D-:----:--:u---	_	
1-29	i	i	T-:----:--:----	_	
1-30	byen	by	NC:sduc:--:----	_	
1-31	på	på	T-:----:--:----	_	
1-32	vores	vores	PO:#--#:--:-1np	_	
1-33	cykler	cykel	NC:piu#:--:----	_	
1-34	.	.	ZP	_	

#id=2
#text= Vi vil ikke have samfund, hvor man ikke kan gå trygt rundt, hvor man for nogles vedkommende er utrygge og frygter at blive ramt af vildfarne skud.
2-1	Vi	vi	PP:p-nc:--:-1n-	_	
2-2	vil	ville	VF:----:sa:----	_	
2-3	ikke	ikke	D-:----:--:u---	_	
2-4	have	have	VI:----:-a:----	_	
2-5	samfund	samfund	NC:siun:--:----	_	
2-6	,	,	ZD	_	
2-7	hvor	hvor	D-:----:--:u---	_	
2-8	man	man	PI:#-uc:--:----	_	
2-9	ikke	ikke	D-:----:--:u---	_	
2-10	kan	kunne	VF:----:sa:----	_	
2-11	gå	gå	VI:----:-a:----	_	
2-12	trygt	tryg	AD:----:--:p---	_	
2-13	rundt	rundt	D-:----:--:u---	_	
2-14	,	,	ZD	_	
2-15	hvor	hvor	D-:----:--:u---	_	
2-16	man	man	PI:#-uc:--:----	_	
2-17	for	for	T-:----:--:----	_	
2-18	nogles	nogles	XY:----:--:----	_	
2-19	vedkommende	vedkommende	NC:siun:--:----	_	
2-20	er	være	VF:----:sa:----	_	
2-21	utrygge	utryg	AC:p#u#:--:p---	_	
2-22	og	og	CC:----:--:----	_	
2-23	frygter	frygte	VF:----:sa:----	_	
2-24	at	at	UI:----:--:----	_	
2-25	blive	blive	VI:----:-a:----	_	
2-26	ramt	ramme	VT:siu#:t-:----	_	
2-27	af	af	T-:----:--:----	_	
2-28	vildfarne	vildfaren	AC:p#u#:--:p---	_	
2-29	skud	skud	NC:piu#:--:----	skud_2	
2-30	.	.	ZP	_	

#id=3
#text= Der er rejst sigtelser i over en tredjedel af de 46 sager med relation til bandekonflikten, hvor personer er døde eller blevet såret som følge af skud eller knivstik m.v.
3-1	Der	der	US:----:--:----	_	
3-2	er	være	VF:----:sa:----	_	
3-3	rejst	rejse	VT:siu#:t-:----	_	
3-4	sigtelser	sigtelse	NC:piu#:--:----	_	
3-5	i	i	T-:----:--:----	_	
3-6	over	over	T-:----:--:----	_	
3-7	en	en	PI:s-uc:--:----	_	
3-8	tredjedel	tredjedel	NC:siuc:--:----	_	
3-9	af	af	T-:----:--:----	_	
3-10	de	den	PM:p-u#:--:----	_	
3-11	46	46	LC:--u-:--:----	_	
3-12	sager	sag	NC:piu#:--:----	_	
3-13	med	med	T-:----:--:----	_	
3-14	relation	relation	NC:siuc:--:----	_	
3-15	til	til	T-:----:--:----	_	
3-16	bandekonflikten	bandekonflikt	NC:sduc:--:----	_	
3-17	,	,	ZD	_	
3-18	hvor	hvor	D-:----:--:u---	_	
3-19	personer	person	NC:piu#:--:----	_	
3-20	er	være	VF:----:sa:----	_	
3-21	døde	død	AC:p#u#:--:p---	_	
3-22	eller	eller	CC:----:--:----	_	
3-23	blevet	blive	VT:siu#:t-:----	_	
3-24	såret	såre	VT:siu#:t-:----	_	
3-25	som	som	US:----:--:----	_	
3-26	følge	følge	NC:siuc:--:----	_	
3-27	af	af	T-:----:--:----	_	
3-28	skud	skud	NC:siun:--:----	skud_2	
3-29	eller	eller	CC:----:--:----	_	
3-30	knivstik	knivstik	NC:siun:--:----	_	
3-31	m	m	T-:----:--:----	_	
3-32	.	.	ZP	_	
3-33	v	v	AC:##u#:--:c---	_	
3-34	.	.	ZP	_	

#id=4
#text= Alene i tredje  kvartal er der affyret 21 skud.
4-1	Alene	alene	D-:----:--:u---	_	
4-2	i	i	T-:----:--:----	_	
4-3	tredje	tre	LO:--u#:--:----	_	
4-4	kvartal	kvartal	NC:siun:--:----	_	
4-5	er	være	VF:----:sa:----	_	
4-6	der	der	US:----:--:----	_	
4-7	affyret	affyre	VT:siu#:t-:----	_	
4-8	21	21	LC:--u-:--:----	_	
4-9	skud	skud	NC:piu#:--:----	skud_2	
4-10	.	.	ZP	_	

#id=5
#text= Jeg tror, vi skal helt tilbage til anden verdenskrig for at finde en tid, hvor der har været affyret så mange skud.
5-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
5-2	tror	tro	a:----	_	
5-3	,	,	ZD	_	
5-4	vi	vi	PP:p-nc:--:-1n-	_	
5-5	skal	skulle	VF:----:sa:----	_	
5-6	helt	hel	AD:----:--:p---	_	
5-7	tilbage	tilbage	D-:----:--:u---	_	
5-8	til	til	T-:----:--:----	_	
5-9	anden	anden	PI:s-uc:--:----	_	
5-10	verdenskrig	verdenskrig	NC:siuc:--:----	_	
5-11	for	for	T-:----:--:----	_	
5-12	at	at	UI:----:--:----	_	
5-13	finde	finde	VI:----:-a:----	_	
5-14	en	en	PI:s-uc:--:----	_	
5-15	tid	tid	NC:siuc:--:----	_	
5-16	,	,	ZD	_	
5-17	hvor	hvor	D-:----:--:u---	_	
5-18	der	der	US:----:--:----	_	
5-19	har	have	VF:----:sa:----	_	
